"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","User Management","0","User Endpoints","7","0","Get User By ID","0"
"0","Playwright UI Automation","0","Product Catalog","1","0","Product category filter","0"
"0","","0","","298","0","","0"
"0","Authentication","0","Auth Endpoints","5","0","User Login","0"
"0","Selenium UI Automation","0","Product Catalog","3","0","Product search","0"
"0","Selenium UI Automation","0","Dashboard","2","0","Dashboard quick actions","0"
"0","Playwright UI Automation","0","Navigation","8","0","Navbar navigation","0"
"0","Selenium UI Automation","0","Product Catalog","2","0","Products page renders","0"
"0","Selenium UI Automation","3","Authentication","0","0","Login field validation","0"
"0","Order Management","0","Order Endpoints","4","0","Update Order Status","0"
"0","Playwright UI Automation","0","Order Management","4","0","Orders page renders","0"
"0","Product Management","0","Product Endpoints","11","0","Create Product","0"
"0","Playwright UI Automation","0","Navigation","7","0","Navbar unauthenticated state","0"
"0","UI Automation","0","Navigation","8","0","Navbar visibility — unauthenticated","0"
"0","Playwright UI Automation","0","Navigation","10","0","Navbar authenticated state","0"
"0","Authentication","0","Auth Endpoints","12","0","User Registration","0"
"0","Playwright UI Automation","6","Authentication","0","0","Register field validation","0"
"0","Order Management","0","Order Endpoints","4","0","Cancel Order","0"
"0","Order Management","0","Order Endpoints","5","0","List Orders","0"
"0","Health & Status","0","Health Check Endpoints","7","0","Health Check","0"
"0","Product Management","0","Product Endpoints","4","0","Get Product By ID","0"
"0","Playwright UI Automation","0","Product Catalog","4","0","Product detail renders","0"
"0","Selenium UI Automation","0","Authentication","1","0","Register page renders","0"
"0","Playwright UI Automation","0","Order Management","1","0","Orders protected route","0"
"0","Selenium UI Automation","2","Authentication","0","0","Login negative cases","0"
"0","Order Management","0","Order Endpoints","7","0","Get Order By ID","0"
"0","Selenium UI Automation","3","Product Catalog","1","0","Product detail renders","0"
"0","Product Management","0","Product Endpoints","4","0","Delete Product","0"
"0","Playwright UI Automation","0","Authentication","2","0","Valid login","0"
"0","Order Management","0","Order Endpoints","11","0","Create Order","0"
"0","UI Automation","0","Navigation","3","0","Navbar navigation — authenticated","0"
"0","Playwright UI Automation","0","Product Catalog","2","0","Product pagination","0"
"0","User Management","0","User Endpoints","8","0","List Users","0"
"0","Playwright UI Automation","1","Order Management","5","0","Orders status filter","0"
"0","Product Management","0","Product Endpoints","6","0","Update Product","0"
"0","Playwright UI Automation","0","Product Catalog","2","0","Product detail order negative cases","0"
"0","Playwright UI Automation","0","Authentication","2","0","Login negative cases","0"
"0","Playwright UI Automation","0","Dashboard","7","0","Dashboard page renders","0"
"0","Playwright UI Automation","0","Dashboard","4","0","Dashboard quick actions","0"
"0","Playwright UI Automation","0","Product Catalog","1","0","Product detail negative cases","0"
"0","Playwright UI Automation","0","Authentication","1","0","Register page renders","0"
"0","Selenium UI Automation","0","Order Management","2","0","Orders page renders","0"
"0","Selenium UI Automation","0","Order Management","1","0","Orders protected route","0"
"0","Authentication","0","Auth Endpoints","2","0","User Logout","0"
"0","UI Automation","0","Navigation","4","0","Navbar navigation — unauthenticated","0"
"0","Playwright UI Automation","0","Product Catalog","3","0","Product navigation","0"
"0","Selenium UI Automation","0","Order Management","2","0","Order cancellation","0"
"0","Selenium UI Automation","0","Product Catalog","1","0","Product category filter","0"
"0","Playwright UI Automation","0","Product Catalog","4","0","Products page authenticated access","0"
"0","Selenium UI Automation","0","Authentication","2","0","Valid registration","0"
"0","Playwright UI Automation","0","Product Catalog","1","0","Product detail unauthenticated order","0"
"0","Playwright UI Automation","0","Navigation","2","0","Navbar sign out","0"
"0","Playwright UI Automation","0","Product Catalog","3","0","Product search","0"
"0","Product Management","0","Product Endpoints","10","0","List Products","0"
"0","Selenium UI Automation","0","Product Catalog","2","0","Product pagination","0"
"0","Playwright UI Automation","0","Authentication","3","0","Login field validation","0"
"0","UI Automation","0","Navigation","5","0","Navbar visibility — authenticated","0"
"0","Playwright UI Automation","0","Product Catalog","2","0","Products page renders","0"
"0","Selenium UI Automation","1","Product Catalog","0","0","Product detail order negative cases","0"
"0","Authentication","0","Auth Endpoints","3","0","Get Current User","0"
"0","Selenium UI Automation","0","Product Catalog","2","0","Product navigation","0"
"0","Selenium UI Automation","0","Order Management","1","0","Orders pagination","0"
"0","Selenium UI Automation","0","Authentication","1","0","Login page navigation","0"
"0","Selenium UI Automation","0","Authentication","1","0","Register page navigation","0"
"0","User Management","0","User Endpoints","7","0","Update User","0"
"0","","0","OWASP ZAP","2","0","Informational","0"
"0","Selenium UI Automation","0","Dashboard","1","0","Dashboard unauthenticated","0"
"0","Selenium UI Automation","0","Order Management","3","0","Orders status filter","0"
"0","Playwright UI Automation","1","Order Management","3","0","Order cancellation","0"
"0","User Management","0","User Endpoints","5","0","Delete User","0"
"0","Playwright UI Automation","0","Product Catalog","4","0","Product detail authenticated order","0"
"0","Health & Status","0","Health Check Endpoints","1","0","Invalid Endpoints","0"
"0","Selenium UI Automation","5","Authentication","0","0","Register field validation","0"
"0","Selenium UI Automation","0","Authentication","2","0","Valid login","0"
"0","Selenium UI Automation","0","Dashboard","4","0","Dashboard renders","0"
"0","Selenium UI Automation","0","Product Catalog","2","0","Products page authenticated access","0"
"0","Selenium UI Automation","0","Dashboard","1","0","Dashboard recent orders","0"
"0","Playwright UI Automation","0","Order Management","2","0","Orders pagination","0"
"0","Playwright UI Automation","0","Dashboard","1","0","Dashboard recent orders","0"
"0","Selenium UI Automation","1","Product Catalog","0","0","Product detail negative cases","0"
"0","Selenium UI Automation","0","Product Catalog","1","0","Product detail navigation","0"
"0","Selenium UI Automation","1","Product Catalog","1","0","Product detail authenticated order","0"
"0","Selenium UI Automation","0","Authentication","1","0","Register negative cases","0"
"0","Playwright UI Automation","0","Authentication","1","0","Login page navigation","0"
"0","Health & Status","0","Health Check Endpoints","2","0","Root Endpoint","0"
"0","Playwright UI Automation","0","Dashboard","2","0","Dashboard sign out","0"
"0","Playwright UI Automation","0","Authentication","2","0","Valid registration","0"
"1","","0","OWASP ZAP","0","0","Medium","0"
"0","Playwright UI Automation","0","Dashboard","1","0","Dashboard protected route","0"
"0","Playwright UI Automation","0","Product Catalog","1","0","Product detail navigation","0"
"0","Selenium UI Automation","0","Authentication","1","0","Login page renders","0"
"0","Authentication","0","Auth Endpoints","1","0","Token Validation","0"
"0","Playwright UI Automation","0","Authentication","1","0","Login redirect behaviour","0"
"1","Selenium UI Automation","0","Authentication","0","0","Login redirect behaviour","0"
"0","Playwright UI Automation","0","Authentication","1","0","Register page navigation","0"
"0","Playwright UI Automation","0","Authentication","1","0","Register negative cases","0"
"0","Selenium UI Automation","0","Product Catalog","1","0","Product detail unauthenticated order","0"
"0","Playwright UI Automation","0","Authentication","1","0","Login page renders","0"
